Sample,IoU Score
159,0.8011162877082825
160,0.8870826363563538
161,0.8449363708496094
162,0.9095993638038635
163,0.6783189177513123
164,0.860410749912262
165,0.8044501543045044
166,0.9236583709716797
167,0.8029659390449524
168,0.7560694813728333
169,0.5402897000312805
170,0.824582040309906
171,0.9192513823509216
172,0.8274975419044495
173,0.8819892406463623
174,0.9505513310432434
175,0.833453357219696
176,0.8917037844657898
177,0.8596514463424683
178,0.6999545097351074
179,0.8965654969215393
180,0.8152363896369934
181,0.9412295818328857
182,0.913741946220398
183,0.4711536169052124
184,0.9338069558143616
185,0.8832173943519592
186,0.895254909992218
187,0.9353553652763367
188,0.9006235599517822
189,0.9354163408279419
190,0.8789336681365967
191,0.8756728172302246
192,0.8973012566566467
193,0.6533041596412659
194,0.9386304616928101
195,0.6123383045196533
196,0.6709792017936707
197,0.35910531878471375
198,0.8475196957588196
199,0.9606668949127197
200,0.928562343120575
201,0.7056363224983215
202,0.9209878444671631
203,0.813452422618866
204,0.8448618054389954
205,0.9237204194068909
206,0.5269257426261902
207,0.8639936447143555
208,0.7418606877326965
209,0.7541096806526184
210,0.9677513241767883
211,0.607658863067627
212,0.9133259654045105
213,0.8031107783317566
214,0.8649147152900696
215,0.7836697697639465
216,0.5695667266845703
217,0.06824769079685211
218,0.8867703676223755
219,0.744782030582428
220,0.883042573928833
221,0.7162081599235535
222,0.9484703540802002
223,0.8305541276931763
224,0.5889937877655029
225,0.9336665272712708
226,0.9055883288383484
227,0.6614689230918884
228,0.7714938521385193
229,0.7845250368118286
230,0.7310807108879089
231,0.8798514008522034
232,0.7776555418968201
233,0.921847939491272
234,0.9096830487251282
235,0.8126291632652283
236,0.8214508891105652
237,0.5989679098129272
238,0.8399385213851929
239,0.7003310322761536
240,0.8841519355773926
241,0.7588611245155334
242,0.653446614742279
243,0.6101916432380676
244,0.9273965954780579
245,0.7433831691741943
246,0.7583450675010681
247,0.7973859906196594
248,0.6290490031242371
249,0.8977170586585999
250,0.8553845882415771
251,0.9032828211784363
252,0.9251494407653809
253,0.8960340023040771
254,0.9062598943710327
255,0.8536261320114136
256,0.7948383092880249
257,0.49421313405036926
258,0.9024074077606201
259,0.7782557606697083
260,0.8021090626716614
261,0.6301704049110413
262,0.9420069456100464
263,0.8924742341041565
264,0.6151437759399414
265,0.8316187262535095
266,0.9287663698196411
267,0.9473943114280701
268,0.9022307991981506
269,0.6041194200515747
270,0.8694760799407959
271,0.6958574652671814
272,0.7159472703933716
273,0.7147127389907837
274,0.9487441778182983
275,0.9478421211242676
276,0.6623400449752808
277,0.711029052734375
278,0.9654791355133057
279,0.6460003852844238
280,0.6794916987419128
281,0.82366544008255
282,0.31166383624076843
283,0.9060224890708923
284,0.6085566282272339
285,0.6755725145339966
286,0.8733774423599243
287,0.9390450716018677
288,0.9303979873657227
289,0.7686710357666016
290,0.8039825558662415
291,0.8077596426010132
292,0.8885947465896606
293,0.8900879621505737
294,0.8449315428733826
295,0.8348868489265442
296,0.944732129573822
297,0.7958939671516418
298,0.7164309620857239
299,0.8646568655967712
300,0.8128955364227295
301,0.9512704610824585
302,0.7952491641044617
303,0.8363598585128784
304,0.9256983995437622
305,0.9482334852218628
306,0.9258957505226135
307,0.8526039123535156
308,0.9451353549957275
309,0.8660233616828918
310,0.7615129947662354
311,0.9275423288345337
312,0.7435546517372131
313,0.9405569434165955
314,0.9138563871383667
315,0.3992064893245697
316,0.22719600796699524
317,0.5436030626296997
318,0.7737891674041748
319,0.9492695927619934
320,0.636071503162384
321,0.845207691192627
322,0.42448100447654724
323,0.878740131855011
324,0.6708307862281799
325,0.34398046135902405
326,0.9372698068618774
327,0.9453201293945312
328,0.8147334456443787
329,0.9319597482681274
330,0.6643598675727844
331,0.9546322822570801
332,0.7211443781852722
333,0.9288061261177063
334,0.5892828106880188
335,0.6687880158424377
336,0.8136194348335266
337,0.7707215547561646
338,0.9385544657707214
339,0.8882508277893066
340,0.9486915469169617
341,0.7959866523742676
342,0.6805842518806458
343,0.631603479385376
344,0.8298794031143188
345,0.8279127478599548
346,0.9516561031341553
347,0.8650249242782593
348,0.895931601524353
349,0.8735659122467041
350,0.9489232897758484
351,0.5903537273406982
352,0.9542940855026245
353,0.7841193675994873
354,0.8184264302253723
355,0.8411864638328552
356,0.9351755380630493
357,0.8274041414260864
358,0.7574094533920288
359,0.609076976776123
360,0.633109986782074
361,0.8902636766433716
362,0.9283751845359802
363,0.8117311596870422
364,0.7933967709541321
365,0.9228171110153198
366,0.6896908283233643
367,0.5501477718353271
368,0.9600024819374084
369,0.7926670908927917
370,0.6136865615844727
371,0.8277846574783325
372,0.8317734003067017
373,0.8321577906608582
374,0.8114508390426636
375,0.932841956615448
376,0.6394790410995483
377,0.7231312990188599
378,0.9520288109779358
379,0.8508548736572266
Average,0.7948907111875902
